A3Q0XAGQ7TD7MP:3QECW5O0KIK6D3BNJ6TLUW8NWKB5T8,difficulty,6
A3Q0XAGQ7TD7MP:3QECW5O0KIK6D3BNJ6TLUW8NWKB5T8,engagement,9
A3Q0XAGQ7TD7MP:3QECW5O0KIK6D3BNJ6TLUW8NWKB5T8,informative,10
A3Q198AX290HZD:3ZY8KE4ISKMAJHYA8TH3TPRZP16VQJ,difficulty,8
A3Q198AX290HZD:3ZY8KE4ISKMAJHYA8TH3TPRZP16VQJ,engagement,3
A3Q198AX290HZD:3ZY8KE4ISKMAJHYA8TH3TPRZP16VQJ,informative,3
AA3L3CZRK6VIR:3Z4AIRP3C7WE62JONTS6G9GCX0LX1S,difficulty,0
AA3L3CZRK6VIR:3Z4AIRP3C7WE62JONTS6G9GCX0LX1S,engagement,0
AA3L3CZRK6VIR:3Z4AIRP3C7WE62JONTS6G9GCX0LX1S,informative,7
AGFWV1U4CJXP5:36NEMU28XGWWDR0N6AFIYIQ8M9JWMF,difficulty,4
AGFWV1U4CJXP5:36NEMU28XGWWDR0N6AFIYIQ8M9JWMF,engagement,8
AGFWV1U4CJXP5:36NEMU28XGWWDR0N6AFIYIQ8M9JWMF,informative,8
AHJQDF8PAHVDP:3M0NZ3JDP2H2ZFKMPYI3GK94HGP5ZG,difficulty,0
AHJQDF8PAHVDP:3M0NZ3JDP2H2ZFKMPYI3GK94HGP5ZG,engagement,10
AHJQDF8PAHVDP:3M0NZ3JDP2H2ZFKMPYI3GK94HGP5ZG,informative,10
AKLV0WIZZ356X:3JNQLM5FT55QVTKVSEPWAYVUIXQ2LT,difficulty,0
AKLV0WIZZ356X:3JNQLM5FT55QVTKVSEPWAYVUIXQ2LT,engagement,6
AKLV0WIZZ356X:3JNQLM5FT55QVTKVSEPWAYVUIXQ2LT,informative,5
AO7FM98CP90CL:3WAKVUDHUXZ00K4V74YSXC8L648U7Y,difficulty,0
AO7FM98CP90CL:3WAKVUDHUXZ00K4V74YSXC8L648U7Y,engagement,0
AO7FM98CP90CL:3WAKVUDHUXZ00K4V74YSXC8L648U7Y,informative,5
AVHZJ2HQJG3NB:3TK8OJTYM24PJ5XV8G2ETK1PK5KVPS,difficulty,8
AVHZJ2HQJG3NB:3TK8OJTYM24PJ5XV8G2ETK1PK5KVPS,engagement,9
AVHZJ2HQJG3NB:3TK8OJTYM24PJ5XV8G2ETK1PK5KVPS,informative,9
AVI7K876BV3QL:3S4AW7T80C10Y7ZIWS8K3DSS2BML48,difficulty,5
AVI7K876BV3QL:3S4AW7T80C10Y7ZIWS8K3DSS2BML48,engagement,8
AVI7K876BV3QL:3S4AW7T80C10Y7ZIWS8K3DSS2BML48,informative,9
